VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1G1RD6E43E,Thurston,Olympia,WA,98501,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,219890254,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010100
5YJSA1H24F,King,Seattle,WA,98199,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,36,227091000,POINT (-122.40092 47.65908),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
3FA6P0PU4G,Kitsap,Poulsbo,WA,98370,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,310989647,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090201
5YJ3E1EA9J,Snohomish,Lynnwood,WA,98037,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,277978893,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051802
5YJ3E1EB2K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,478429570,POINT (-120.60199 46.59817),PACIFICORP,53077000903
1G1FZ6S05K,Thurston,Olympia,WA,98502,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,2179768,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
7FCTGAAA6P,Kitsap,Poulsbo,WA,98370,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,275514473,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
7SAYGDEF6N,Kitsap,Bremerton,WA,98337,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,239666521,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
5UX43EU00R,Kitsap,Bainbridge Island,WA,98110,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,23,252308738,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090901
5YJ3E1EA0P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,261234655,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
1G1FW6S03H,Kittitas,Easton,WA,98925,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,13,184994057,POINT (-121.17954 47.2378),PUGET SOUND ENERGY INC,53037975101
JTDKARFP1J,Skagit,Anacortes,WA,98221,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,40,453939160,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940700
JN1AZ0CPXC,King,Auburn,WA,98092,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,31,133041380,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031204
1G1RA6E47D,Snohomish,Everett,WA,98203,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,38,246683006,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041201
5YJYGDEE0L,Snohomish,Edmonds,WA,98026,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,21,109347108,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050300
WBY2Z6C51K,Snohomish,Mukilteo,WA,98275,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,21,274604732,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
1C4RJXR69R,Snohomish,Lake Stevens,WA,98258,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,44,276946078,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052607
